Date : 2026-02-08 13:47:11
Directory : /home/keanu/Documents/gitHub/fugginZelda
Total : 163 files,  16341 codes, 516 comments, 3484 blanks, all 20341 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C#           |        130 |      8,996 |        211 |      2,010 |     11,217 |
| UnityShader  |         19 |      2,860 |        111 |        756 |      3,727 |
| Markdown     |          3 |      1,899 |          0 |        439 |      2,338 |
| Shell Script |          1 |      1,443 |        194 |        251 |      1,888 |
| JSON         |          6 |        868 |          0 |          4 |        872 |
| UnityUSS     |          1 |         94 |          0 |         17 |        111 |
| XML          |          1 |         92 |          0 |          1 |         93 |
| HTML         |          1 |         63 |          0 |          5 |         68 |
| UnityUXML    |          1 |         26 |          0 |          1 |         27 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        163 |     16,341 |        516 |      3,484 |     20,341 |
| . (Files)                                                                                                                                           |          3 |      1,539 |        194 |        256 |      1,989 |
| Assets                                                                                                                                              |        158 |     14,120 |        322 |      3,226 |     17,668 |
| Assets/DampedSpringMotionCopier                                                                                                                     |          4 |        573 |         24 |        108 |        705 |
| Assets/DampedSpringMotionCopier/Code                                                                                                                |          3 |        510 |         24 |        103 |        637 |
| Assets/DampedSpringMotionCopier/Docs                                                                                                                |          1 |         63 |          0 |          5 |         68 |
| Assets/DampedSpringMotionCopier/Docs/Html                                                                                                           |          1 |         63 |          0 |          5 |         68 |
| Assets/MobileDependencyResolver                                                                                                                     |          2 |      1,895 |          0 |        435 |      2,330 |
| Assets/MobileDependencyResolver/Editor                                                                                                              |          2 |      1,895 |          0 |        435 |      2,330 |
| Assets/Plugins                                                                                                                                      |         49 |      2,595 |          8 |        383 |      2,986 |
| Assets/Plugins/SerializedCollections                                                                                                                |         49 |      2,595 |          8 |        383 |      2,986 |
| Assets/Plugins/SerializedCollections/Editor                                                                                                         |         38 |      2,235 |          3 |        327 |      2,565 |
| Assets/Plugins/SerializedCollections/Editor (Files)                                                                                                 |          1 |         17 |          0 |          0 |         17 |
| Assets/Plugins/SerializedCollections/Editor/Assets                                                                                                  |          2 |        120 |          0 |         18 |        138 |
| Assets/Plugins/SerializedCollections/Editor/Scripts                                                                                                 |         35 |      2,098 |          3 |        309 |      2,410 |
| Assets/Plugins/SerializedCollections/Editor/Scripts (Files)                                                                                         |          4 |        754 |          2 |        118 |        874 |
| Assets/Plugins/SerializedCollections/Editor/Scripts/Data                                                                                            |          3 |         71 |          0 |         11 |         82 |
| Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators                                                                               |         10 |        326 |          1 |         42 |        369 |
| Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators (Files)                                                                       |          7 |        266 |          1 |         37 |        304 |
| Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/Implementors                                                                  |          3 |         60 |          0 |          5 |         65 |
